OrderID,ReceptionDate,Lat,Lon,DesiredDeliveryDate(Start),DesiredDeliveryDate(End),Delivery Time,Product
1,2024/09/30,13.767564342228495,100.56636554827111,2024/10/01,2024/10/01,10:37,1
2,2024/10/03,13.764505189974939,100.566522392233,2024/10/04,2024/10/06,12:45,1
3,2024/10/03,13.72346662836317,100.55670071597406,2024/10/04,2024/10/05,11:44,1
4,2024/10/01,13.74016016116586,100.58317182494956,2024/10/02,2024/10/02,15:06,1
5,2024/09/29,13.73070974220279,100.58213624196924,2024/10/01,2024/10/03,10:59,1
6,2024/10/03,13.690369225914333,100.54447868236413,2024/10/05,2024/10/06,10:02,1
7,2024/09/30,13.756380215916328,100.47641422375618,2024/10/04,2024/10/04,13:29,1
8,2024/09/30,13.72474560279889,100.58425896806769,2024/10/02,2024/10/04,10:38,1
9,2024/10/02,13.721833765961726,100.55781445952307,2024/10/05,2024/10/06,12:43,1
10,2024/09/29,13.744968701647368,100.5524882136542,2024/10/03,2024/10/04,13:04,1
11,2024/10/01,13.8012373013518,100.54106506240679,2024/10/05,2024/10/05,15:56,1
12,2024/09/30,13.652788603758111,100.58666890685888,2024/10/03,2024/10/05,13:47,1
13,2024/09/30,13.768061997139293,100.54446042914235,2024/10/05,2024/10/05,16:05,1
14,2024/09/30,13.788223973374153,100.50965202924704,2024/10/02,2024/10/04,10:24,1
15,2024/10/03,13.780608246491427,100.56170280221957,2024/10/04,2024/10/04,13:49,1
16,2024/10/02,13.768291234898442,100.58326651592799,2024/10/05,2024/10/05,11:32,1
17,2024/10/04,13.813203683334859,100.48917348996433,2024/10/07,2024/10/09,12:09,1
18,2024/10/03,13.783008158376768,100.62573205119412,2024/10/08,2024/10/08,14:31,1
19,2024/10/01,13.7994087362754,100.53604680126813,2024/10/02,2024/10/02,12:56,1
20,2024/09/29,13.78663883066282,100.5857170283562,2024/09/30,2024/10/02,11:42,1
21,2024/10/03,13.72139913459164,100.55535206781195,2024/10/05,2024/10/06,12:45,1
